constructorId,year,driverId,forename,surname,total_points,num_races
8,2007,11,Takuma,Sato,4,17
9,2007,17,Mark,Webber,10,17
5,2007,24,Vitantonio,Liuzzi,3,17
11,2007,18,Jenson,Button,6,17
8,2007,19,Anthony,Davidson,0,17
12,2007,16,Adrian,Sutil,1,17
3,2007,25,Alexander,Wurz,13,16
9,2007,14,David,Coulthard,14,17
2,2007,9,Robert,Kubica,39,16
5,2007,26,Scott,Speed,0,10
12,2007,27,Christijan,Albers,0,9
2,2007,20,Sebastian,Vettel,1,1
12,2007,28,Markus,Winkelhock,0,1
5,2007,20,Sebastian,Vettel,5,7
12,2007,29,Sakon,Yamamoto,0,7
3,2007,6,Kazuki,Nakajima,0,1
1,2008,1,Lewis,Hamilton,98,18
2,2008,2,Nick,Heidfeld,60,18
3,2008,3,Nico,Rosberg,17,18
4,2008,4,Fernando,Alonso,61,18
1,2008,5,Heikki,Kovalainen,53,18
3,2008,6,Kazuki,Nakajima,9,18
5,2008,7,Sébastien,Bourdais,4,18
6,2008,8,Kimi,Räikkönen,75,18
2,2008,9,Robert,Kubica,75,18
7,2008,10,Timo,Glock,25,18
8,2008,11,Takuma,Sato,0,4
4,2008,12,Nelson,"Piquet Jr.",19,18
6,2008,13,Felipe,Massa,97,18
9,2008,14,David,Coulthard,8,18
7,2008,15,Jarno,Trulli,31,18
10,2008,16,Adrian,Sutil,0,18
9,2008,17,Mark,Webber,21,18
11,2008,18,Jenson,Button,3,18
8,2008,19,Anthony,Davidson,0,4
5,2008,20,Sebastian,Vettel,35,18
10,2008,21,Giancarlo,Fisichella,0,18
11,2008,22,Rubens,Barrichello,11,18
23,2009,18,Jenson,Button,95,17
23,2009,22,Rubens,Barrichello,77,17
7,2009,15,Jarno,Trulli,32.5,17
7,2009,10,Timo,Glock,24,15
4,2009,4,Fernando,Alonso,26,17
3,2009,3,Nico,Rosberg,34.5,17
5,2009,67,Sébastien,Buemi,6,17
5,2009,7,Sébastien,Bourdais,2,9
10,2009,16,Adrian,Sutil,5,17
2,2009,2,Nick,Heidfeld,19,17
10,2009,21,Giancarlo,Fisichella,8,12
9,2009,17,Mark,Webber,69.5,17
9,2009,20,Sebastian,Vettel,84,17
2,2009,9,Robert,Kubica,17,17
6,2009,8,Kimi,Räikkönen,48,17
6,2009,13,Felipe,Massa,22,10
4,2009,12,Nelson,"Piquet Jr.",0,10
3,2009,6,Kazuki,Nakajima,0,17
1,2009,5,Heikki,Kovalainen,22,17
1,2009,1,Lewis,Hamilton,49,17
5,2009,153,Jaime,Alguersuari,0,8
4,2009,154,Romain,Grosjean,0,7
6,2009,69,Luca,Badoer,0,2
6,2009,21,Giancarlo,Fisichella,0,5
10,2009,24,Vitantonio,Liuzzi,0,5
7,2009,155,Kamui,Kobayashi,3,2
6,2010,4,Fernando,Alonso,252,19
6,2010,13,Felipe,Massa,144,19
1,2010,1,Lewis,Hamilton,240,19
9,2010,20,Sebastian,Vettel,256,19
131,2010,3,Nico,Rosberg,142,19
131,2010,30,Michael,Schumacher,72,19
1,2010,18,Jenson,Button,214,19
9,2010,17,Mark,Webber,242,19
10,2010,24,Vitantonio,Liuzzi,21,19
3,2010,22,Rubens,Barrichello,47,19
4,2010,9,Robert,Kubica,136,19
10,2010,16,Adrian,Sutil,47,19
5,2010,153,Jaime,Alguersuari,5,19
3,2010,807,Nico,Hülkenberg,22,19
205,2010,5,Heikki,Kovalainen,0,19
5,2010,67,Sébastien,Buemi,8,19
205,2010,15,Jarno,Trulli,0,19
15,2010,37,Pedro,"de la Rosa",6,14
164,2010,811,Bruno,Senna,0,18
166,2010,10,Timo,Glock,0,19
4,2010,808,Vitaly,Petrov,27,19
15,2010,155,Kamui,Kobayashi,32,19
166,2010,810,Lucas,"di Grassi",0,19
164,2010,812,Karun,Chandhok,0,10
164,2010,29,Sakon,Yamamoto,0,7
15,2010,2,Nick,Heidfeld,6,5
164,2010,32,Christian,Klien,0,3
9,2011,20,Sebastian,Vettel,392,19
1,2011,1,Lewis,Hamilton,227,19
4,2011,808,Vitaly,Petrov,37,19
6,2011,4,Fernando,Alonso,257,19
9,2011,17,Mark,Webber,258,19
1,2011,18,Jenson,Button,270,19
6,2011,13,Felipe,Massa,118,19
5,2011,67,Sébastien,Buemi,15,19
10,2011,16,Adrian,Sutil,42,19
10,2011,814,Paul,"di Resta",27,19
5,2011,153,Jaime,Alguersuari,26,19
4,2011,2,Nick,Heidfeld,34,11
205,2011,15,Jarno,Trulli,0,18
166,2011,816,Jérôme,d'Ambrosio,0,19
166,2011,10,Timo,Glock,0,19
3,2011,22,Rubens,Barrichello,4,19
131,2011,3,Nico,Rosberg,89,19
205,2011,5,Heikki,Kovalainen,0,19
131,2011,30,Michael,Schumacher,76,19
3,2011,813,Pastor,Maldonado,1,19
15,2011,155,Kamui,Kobayashi,30,19
15,2011,815,Sergio,Pérez,14,18
164,2011,24,Vitantonio,Liuzzi,0,18
164,2011,39,Narain,Karthikeyan,0,9
15,2011,37,Pedro,"de la Rosa",0,1
164,2011,817,Daniel,Ricciardo,0,11
205,2011,812,Karun,Chandhok,0,1
4,2011,811,Bruno,Senna,2,8
1,2012,18,Jenson,Button,188,20
9,2012,20,Sebastian,Vettel,281,20
1,2012,1,Lewis,Hamilton,190,20
9,2012,17,Mark,Webber,179,20
6,2012,4,Fernando,Alonso,278,20
15,2012,155,Kamui,Kobayashi,60,20
208,2012,8,Kimi,Räikkönen,207,20
15,2012,815,Sergio,Pérez,66,20
5,2012,817,Daniel,Ricciardo,10,20
10,2012,814,Paul,"di Resta",46,20
5,2012,818,Jean-Éric,Vergne,16,20
131,2012,3,Nico,Rosberg,93,20
3,2012,813,Pastor,Maldonado,45,20
206,2012,10,Timo,Glock,0,20
206,2012,819,Charles,Pic,0,20
3,2012,811,Bruno,Senna,31,20
6,2012,13,Felipe,Massa,122,20
207,2012,5,Heikki,Kovalainen,0,20
207,2012,808,Vitaly,Petrov,0,20
131,2012,30,Michael,Schumacher,49,20
208,2012,154,Romain,Grosjean,96,19
10,2012,807,Nico,Hülkenberg,63,20
